# This file was generated by Iris, the VAO SED building and analysis tool
#
# File created on Fri Dec 18 14:14:23 EST 2015
#
#
# TARGET = SFGs z~1
# RA = NaN
# DEC = NaN
# XUNIT = μm
# YUNIT = mJy
#
# x y y_err

34.3137254902 4.386 0.5199999809265137
34.6534653465 5.5348 0.6499999761581421
35.5329949239 10.598599999999994 0.6800000071525574
35.7142857143 5.448799999999999 0.7799999713897703
35.8974358974 4.68 0.6999999880790708
35.8974358974 5.733 0.6999999880790708
36.0824742268 4.985799999999998 0.7200000286102295
36.8421052632 5.6049999999999995 0.5500000119209288
37.6344086022 8.481599999999997 0.6299999952316283
37.6344086022 4.426799999999998 0.9800000190734861
38.0434782609 4.783999999999999 0.6200000047683716
38.0434782609 3.4591999999999983 0.6600000262260437
38.0434782609 2.2448 0.6299999952316284
38.2513661202 6.624600000000002 0.8100000023841857
38.4615384615 4.313399999999997 0.9700000286102295
39.1061452514 25.41799999999999 0.709999978542328
40.2298850575 2.8535999999999992 0.75
40.2298850575 25.92599999999998 0.790000021457672
40.4624277457 5.726299999999999 0.6200000047683717
40.4858299595 7.3359000000000005 0.3300000131130218
41.1522633745 35.6238 0.40999999642372126
41.9161676647 5.494299999999999 0.6100000143051147
42.6829268293 9.069199999999997 0.6999999880790709
42.6829268293 18.203999999999997 0.7200000286102295
42.6829268293 18.203999999999997 0.7200000286102295
42.6829268293 7.1012 0.6000000238418578
43.75 16.48 0.6899999976158142
44.0528634361 36.63779999999999 0.3199999928474426
44.6428571429 17.6736 0.2899999916553497
44.8430493274 11.685199999999998 0.30000001192092896
45.045045045 75.92399999999996 0.6600000262260437
45.7516339869 3.1058999999999997 0.8299999833106995
46.511627907 28.444499999999987 0.4199999868869781
47.619047619 9.4227 0.6700000166893005
47.619047619 23.961 0.7699999809265136
47.619047619 4.724999999999998 0.28000000119209284
47.619047619 16.611 0.3400000035762787
47.9452054795 3.7813999999999997 0.6200000047683716
47.9452054795 9.241799999999998 0.5699999928474425
48.275862069 19.139999999999997 0.6600000262260437
48.309178744 10.5777 0.6600000262260437
48.7804878049 11.069999999999993 0.21999999880790708
49.0196078431 10.3836 0.21999999880790708
49.0196078431 9.771599999999998 0.37000000476837164
49.0196078431 6.5484 0.9800000190734861
49.504950495 17.210399999999982 0.540000021457672
49.7512437811 15.2358 0.24999999999999997
50.0 4.284 0.7300000190734861
50.2512562814 5.392900000000001 0.2300000041723251
50.7614213198 35.0857 0.40999999642372126
50.7614213198 4.5704 0.23999999463558197
50.7614213198 9.436299999999994 0.25
51.2820512821 0.8189999999999994 10.329999923706055
51.2820512821 8.736 0.34999999403953547
51.2820512821 10.451999999999996 0.37999999523162836
51.4705882353 3.957599999999997 0.540000021457672
51.5463917526 4.2098 0.3600000143051147
52.3560209424 4.335700000000001 0.4099999964237213
52.6315789474 9.861 0.3100000023841858
53.19148936169999 8.572799999999996 0.40999999642372126
53.435114503799994 18.209 0.6800000071525573
53.7634408602 20.4414 0.3199999928474426
54.0540540541 11.211000000000004 0.31000000238418585
54.347826087 13.855199999999996 0.3499999940395354
54.347826087 15.0328 0.4900000095367431
54.347826087 11.371199999999998 0.37999999523162836
54.347826087 4.9864 0.3100000023841858
55.555555555599994 12.365999999999996 0.4000000059604644
55.865921787699996 50.7823 0.4600000083446502
57.47126436780001 15.224999999999994 0.3000000119209289
57.47126436780001 42.595200000000006 2.670000076293945
57.80346820809999 20.48319999999999 0.21999999880790708
59.880239521 12.324599999999993 0.2300000041723251
59.880239521 7.0139999999999985 0.33000001311302185
60.975609756100006 26.9944 0.27000001072883606
60.975609756100006 34.47279999999999 0.40000000596046437
60.975609756100006 49.888799999999996 0.75
60.975609756100006 21.566 0.8799999952316283
64.7773279352 22.847499999999993 0.9599999785423279
65.8436213992 52.3179 0.6399999856948853
68.0272108844 19.683299999999996 0.30000001192092896
68.0272108844 42.468299999999985 0.30000001192092896
68.4931506849 13.256799999999997 0.37999999523162836
68.4931506849 16.6148 0.2300000041723251
68.9655172414 35.2495 0.6200000047683716
70.4845814978 54.956699999999984 0.6399999856948853
71.4285714286 37.83359999999999 0.7699999809265136
71.4285714286 22.357999999999997 0.4499999880790711
71.7488789238 25.5558 1.480000019073486
72.0720720721 141.2142 1.7100000381469724
73.5294117647 7.1536 0.20000000298023224
74.4186046512 52.15899999999999 1.8700000047683716
76.1904761905 9.638999999999998 1.2400000095367432
76.1904761905 28.119 0.7200000286102295
76.3358778626 41.4746 0.6200000047683717
77.2946859903 22.2318 1.789999961853027
78.0487804878 24.3745 1.3300000429153442
78.431372549 22.644 0.9300000071525573
78.431372549 24.296399999999988 1.100000023841858
79.2079207921 33.41079999999998 0.6999999880790709
79.6019900498 39.97889999999998 0.7200000286102295
80.4020100503 9.731099999999998 0.9800000190734863
81.2182741117 76.31779999999999 1.3799999952316286
81.2182741117 13.553600000000001 1.240000009536743
81.2182741117 15.090199999999998 1.2999999523162842
82.0512820513 23.166 0.9800000190734862
82.0512820513 21.488999999999994 0.9499999880790709
82.4742268041 12.668200000000002 0.4900000095367431
