##---File: sp/PHR1731-2216_6D220701HD.fits
#angstro      ---    
#Wavelen     Value   
 6558.9  2.23290e+01
 6559.7  1.39584e+01
 6560.5  1.54940e+01
 6561.3  2.04045e+01
 6562.1  4.05222e+00
 6562.9  2.90378e+01
 6563.7  5.90560e+01
 6564.5  1.64363e+02
 6565.3  1.92927e+02
 6566.0  8.48127e+01
 6566.8  2.73283e+01
 6567.6  1.66224e+01
 6568.4  9.54024e+00
 6569.2  1.29662e+01
 6570.0  1.65850e+01
 6570.8  6.97425e+00
 6571.6  1.02838e+01
 6572.4  2.44944e+01
 6573.2  2.61773e+01
 6574.0  2.00172e+01
 6574.8  2.18008e+01
 6575.6  2.68080e+01
 6576.4  2.84700e+01
 6577.2  7.27911e+00
 6578.0  6.01480e+00
 6578.7 -5.89700e+00
 6579.5  1.11540e+01
 6580.3 -4.74679e+00
 6581.1  1.29897e+01
 6581.9  1.14710e+01
 6582.7  2.36816e+01
 6583.5  7.04450e+01
 6584.3  1.38946e+02
 6585.1  2.81837e+02
 6585.9  3.35208e+02
 6586.7  1.88591e+02
 6587.5  4.60446e+01
 6588.3 -8.95223e+00
 6589.1  1.55867e+01
 6589.9  1.88966e+01
 6590.7  1.69549e+01
 6591.4  5.88670e+00
 6592.2  5.79337e+00
 6593.0  2.04883e+01
 6593.8  4.46969e+00
 6594.6  6.51442e+00
 6595.4  1.41393e+01
 6596.2  9.60088e+00
 6597.0  1.93690e+01
 6597.8  1.98372e+01
 6598.6  1.79775e+01
 6599.4  1.05991e+01
 6600.2  4.68136e+00
 6601.0  1.07042e+01
 6601.8  1.66872e+01
 6602.6  2.31485e+01
 6603.4  1.96375e+01
 6604.1  1.37863e+01
 6604.9  7.46744e+00
 6605.7  1.01146e+01
 6606.5  1.57547e+01
 6607.3  1.05316e+01
 6608.1  1.74492e+01
 6608.9  1.01294e+01
 6609.7  2.58740e+01
 6610.5  2.39580e+01
 6611.3  9.71624e+00
 6612.1  4.95972e-01
 6612.9 -4.28793e+00
 6613.7  1.41208e+01
 6614.5  3.59643e+00
 6615.3  6.35654e+00
 6616.1  1.76431e+01
 6616.8  1.37233e+01
 6617.6  1.13530e+01
 6618.4  3.53886e+00
 6619.2  2.16633e+01
 6620.0  1.07825e+01
 6620.8  4.85165e+00
 6621.6  1.07439e+01
 6622.4 -9.82232e+00
 6623.2 -5.10696e+00
 6624.0 -1.00062e+01
 6624.8  6.39140e+00
 6625.6  8.12242e+00
 6626.4  3.73540e+00
 6627.2  8.83623e+00
 6628.0  1.69605e+01
 6628.8  1.68339e+01
 6629.5  1.74627e+01
 6630.3  2.54352e+01
 6631.1  2.81087e+00
 6631.9 -9.62427e+00
 6632.7  6.23313e+00
 6633.5  1.80911e+01
 6634.3  1.23131e+01
 6635.1  1.16651e+01
 6635.9  2.03437e+01
 6636.7  8.22446e+00
 6637.5  7.14127e+00
 6638.3  1.31033e+01
 6639.1  1.94417e+01
 6639.9  1.16635e+01
 6640.7  1.09240e+01
 6641.5  9.04240e+00
 6642.3 -2.85057e+00
 6643.0  2.98751e+01
 6643.8  1.69176e+01
 6644.6  1.09916e+01
 6645.4  2.66375e+01
 6646.2  5.34776e+00
 6647.0  9.34936e+00
 6647.8  4.73547e+00
 6648.6 -7.08938e+00
 6649.4 -4.04292e+00
 6650.2  4.68712e-01
